time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
1031770,33.11841,32.58348,32.87695,28.90796,28.09761,26.5919,28.96349
1032900,33.11841,32.58348,32.87695,30.32836,28.09761,26.5919,28.96349
1034030,33.11841,32.58348,32.87695,31.44585,28.36688,26.5919,28.96349
1035160,33.11841,32.58348,32.87695,32.32083,29.03428,26.82396,29.40608
1036800,33.11841,32.58348,32.87695,33.23064,29.97,27.75836,30.26592
1038330,33.11841,33.07564,32.87695,33.8029,30.66291,28.48991,30.99255
1040460,33.11841,33.60134,33.75065,34.36741,31.51668,29.42193,31.87286
1041990,33.11841,33.90173,34.26507,34.64383,32.05132,30.0052,32.38237
1043520,33.11841,34.22154,34.59382,34.87439,32.48502,30.56971,32.77453
1044960,33.26331,34.47848,34.82568,35.03295,32.8282,31.05361,33.0695
1046490,33.70713,34.716,34.98393,35.16787,33.13803,31.54006,33.31572
1048020,34.0555,34.88845,35.12804,35.24763,33.44084,31.9572,33.53492
1049550,34.31628,35.03227,35.26186,35.29564,33.73456,32.33478,33.73158
1051080,34.47294,35.14729,35.36292,35.3439,33.98676,32.67748,33.9013
1052620,34.57366,35.218,35.44806,35.37616,34.20815,32.94615,34.07166
1054150,34.67577,35.27786,35.50199,35.40576,34.39268,33.18605,34.21565
1055690,34.77695,35.3276,35.53261,35.43697,34.54283,33.40908,34.32112
1057320,34.88113,35.36378,35.56559,35.45522,34.68719,33.60178,34.4303
1059550,35.0202,35.39266,35.594,35.46919,34.84622,33.81923,34.55145
1061180,35.10921,35.4093,35.6082,35.4744,34.93766,33.96117,34.62837
1062710,35.16313,35.43565,35.60573,35.48337,35.00602,34.13012,34.68606
1064250,35.21622,35.45297,35.6113,35.48726,35.06933,34.2889,34.74479
1065780,35.26709,35.46374,35.6246,35.48156,35.13298,34.4136,34.80778
1067410,35.30091,35.48123,35.61644,35.47593,35.18472,34.53871,34.83564
1068940,35.32142,35.49539,35.60127,35.46352,35.23095,34.626,34.86582
1070580,35.34477,35.50606,35.57724,35.45317,35.27553,34.70052,34.90096
1072210,35.35998,35.51994,35.536,35.4494,35.31252,34.76254,34.93316
1073840,35.36989,35.53549,35.48998,35.4525,35.34428,34.81323,34.96518
1075480,35.38091,35.54819,35.45119,35.45352,35.37529,34.84921,34.99881
1077110,35.39428,35.5539,35.41827,35.44914,35.40527,34.8708,35.03852
1079340,35.41535,35.55727,35.39691,35.45511,35.44085,34.89778,35.08268
1081370,35.43266,35.56293,35.38988,35.46453,35.46729,34.92321,35.11384
1082910,35.43265,35.57481,35.38233,35.47738,35.47992,34.94558,35.11889
1084340,35.4476,35.57457,35.38932,35.47827,35.49733,34.95368,35.13154
1085770,35.45876,35.57661,35.39345,35.57655,35.51005,34.96424,35.14492
1087300,35.45683,35.58697,35.3905,35.49147,35.51789,34.97992,35.15667
1088740,35.4701,35.58626,35.40251,35.49213,35.53152,34.98428,35.17514
1090270,35.46843,35.59783,35.39782,35.50495,35.53461,35.003,35.17569
1091800,35.48378,35.59477,35.4141,35.50444,35.54747,35.00605,35.19418
1093340,35.48756,35.59902,35.42398,35.50648,35.55811,35.00865,35.2085
1094870,35.48383,35.60992,35.42064,35.51828,35.55897,35.02431,35.20705
1096400,35.49736,35.60737,35.43731,35.51758,35.56914,35.02581,35.22061
1098540,35.50288,35.60971,35.45295,35.51883,35.58071,35.02683,35.23966
1100070,35.49635,35.61895,35.45118,35.5284,35.57847,35.04051,35.23769
1101600,35.50891,35.61507,35.46796,35.52575,35.5867,35.0409,35.24891
1103130,35.51371,35.61539,35.47972,35.52507,35.59547,35.03811,35.26553
1104770,35.52041,35.61526,35.48962,35.52706,35.59998,35.0425,35.27379
1106300,35.51477,35.62281,35.48928,35.53425,35.6007,35.04969,35.27894
1107830,35.51743,35.62534,35.49335,35.54005,35.60107,35.05863,35.27843
1109460,35.5176,35.62773,35.49963,35.54322,35.60457,35.05992,35.28723
1111000,35.52916,35.62266,35.51323,35.54113,35.6108,35.05804,35.2968
1112630,35.52512,35.62753,35.51157,35.5478,35.61081,35.06311,35.29936
1114260,35.52383,35.62893,35.51433,35.54991,35.61346,35.06273,35.30695
1115990,35.53445,35.62344,35.52724,35.54727,35.61911,35.06107,35.31676
1118220,35.52999,35.62929,35.52739,35.55391,35.61874,35.06844,35.32095
1119860,35.52916,35.63196,35.52945,35.55657,35.62132,35.06995,35.32858
1121490,35.53363,35.62862,35.53534,35.55339,35.62711,35.06574,35.33907
1123120,35.53962,35.6242,35.54475,35.54949,35.63107,35.06318,35.34811
1124750,35.54293,35.62338,35.55069,35.54859,35.6319,35.06684,35.35224
1126390,35.54021,35.62745,35.54941,35.55206,35.62927,35.07514,35.35114
1128020,35.53351,35.63201,35.5465,35.55439,35.62617,35.08203,35.35146
1130050,35.53204,35.63505,35.54583,35.5549,35.62785,35.08395,35.35923
1131580,35.54288,35.63021,35.55445,35.55043,35.6321,35.08254,35.36645
1133020,35.53703,35.63512,35.54962,35.55439,35.62937,35.08865,35.36443
1134450,35.53366,35.63668,35.54995,35.55463,35.62931,35.08949,35.36918
1135980,35.54409,35.63117,35.56064,35.54981,35.6322,35.08845,35.37539
1138110,35.54437,35.62979,35.56856,35.54487,35.63436,35.0848,35.38719
1139650,35.53418,35.63798,35.55819,35.55193,35.6261,35.09638,35.37895
1141180,35.5441,35.63164,35.56644,35.54485,35.62846,35.09338,35.38491
1142710,35.5445,35.63065,35.56882,35.54025,35.63126,35.08802,35.39562
