time in ms,temp 1,temp 2,temp 3,temp 4,temp 5,temp 6,temp 7,temp 8,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
52041,12.55956,35.02268,35.26591,35.211,35.08232,34.96849,16.42801,15.5722,8388607,3628225,3350393,3496797,2262627,2110285,8388607,8388607
52234,12.55956,35.02197,35.26675,35.21009,35.08832,34.96867,16.42801,15.5722,8388607,3628434,3350138,3497066,2260790,2110228,8388607,8388607
52367,12.55956,35.02396,35.2575,35.21276,35.0799,34.97157,16.42801,15.5722,8388607,3627845,3352936,3496277,2263368,2109346,8388607,8388607
52501,12.55956,35.01614,35.26317,35.21116,35.08121,34.97219,16.42801,15.5722,8388607,3630161,3351222,3496749,2262967,2109157,8388607,8388607
52634,12.55956,35.0135,35.26579,35.2092,35.08355,34.96714,16.42801,15.5722,8388607,3630942,3350430,3497327,2262251,2110696,8388607,8388607
52767,12.55956,35.0208,35.25532,35.21215,35.07531,34.97191,16.42801,15.5722,8388607,3628782,3353597,3496457,2264776,2109243,8388607,8388607
52900,12.55956,35.0155,35.26593,35.21065,35.07997,34.97143,16.42801,15.5722,8388607,3630351,3350387,3496902,2263348,2109388,8388607,8388607
53034,12.55956,35.01526,35.26426,35.21063,35.07961,34.96688,16.42801,15.5722,8388607,3630423,3350891,3496906,2263458,2110775,8388607,8388607
53167,12.55956,35.01643,35.26034,35.21833,35.08142,34.97291,16.42801,15.5722,8388607,3630076,3352077,3494638,2262904,2108938,8388607,8388607
53310,12.55956,35.01169,35.26699,35.21556,35.08255,34.96955,16.42801,15.5722,8388607,3631480,3350067,3495453,2262557,2109962,8388607,8388607
53454,12.55956,35.01585,35.26669,35.21132,35.08428,34.96793,16.42801,15.5722,8388607,3630247,3350157,3496702,2262025,2110456,8388607,8388607
53597,12.55956,35.01305,35.26885,35.21573,35.08506,34.96699,16.42801,15.5722,8388607,3631077,3349504,3495402,2261787,2110742,8388607,8388607
53740,12.55956,35.00695,35.26476,35.21998,35.08966,34.96952,16.42801,15.5722,8388607,3632883,3350743,3494150,2260377,2109970,8388607,8388607
53943,12.55956,35.01048,35.25744,35.21521,35.08222,34.97512,16.42801,15.5722,8388607,3631839,3352954,3495557,2262657,2108264,8388607,8388607
54087,12.55956,35.01734,35.25446,35.21774,35.08084,34.97252,16.42801,15.5722,8388607,3629808,3353857,3494810,2263080,2109056,8388607,8388607
54230,12.55956,35.01765,35.26608,35.21425,35.07982,34.9728,16.42801,15.5722,8388607,3629713,3350343,3495840,2263394,2108972,8388607,8388607
54373,12.55956,35.01617,35.26302,35.21753,35.09096,34.97698,16.42801,15.5722,8388607,3630151,3351267,3494872,2259978,2107699,8388607,8388607
54516,12.55956,35.01034,35.26419,35.20719,35.08526,34.96956,16.42801,15.5722,8388607,3631881,3350913,3497920,2261726,2109958,8388607,8388607
54660,12.55956,35.01103,35.26716,35.21652,35.0931,34.97546,16.42801,15.5722,8388607,3631675,3350017,3495171,2259324,2108160,8388607,8388607
54803,12.55956,35.02239,35.26151,35.21603,35.08917,34.97108,16.42801,15.5722,8388607,3628311,3351723,3495313,2260527,2109494,8388607,8388607
54956,12.55956,35.01835,35.26738,35.20953,35.08609,34.96649,16.42801,15.5722,8388607,3629507,3349948,3497230,2261471,2110893,8388607,8388607
55099,12.55956,35.01067,35.26299,35.214,35.08575,34.96885,16.42801,15.5722,8388607,3631781,3351275,3495911,2261576,2110175,8388607,8388607
55273,12.55956,35.01888,35.26178,35.21969,35.08486,34.97301,16.42801,15.5722,8388607,3629349,3351641,3494237,2261848,2108908,8388607,8388607
55406,12.55956,35.01949,35.25871,35.22482,35.07452,34.9692,16.42801,15.5722,8388607,3629170,3352570,3492726,2265017,2110068,8388607,8388607
55529,12.55956,35.01947,35.26024,35.22138,35.0747,34.96744,16.42801,15.5722,8388607,3629175,3352108,3493737,2264962,2110603,8388607,8388607
55722,12.55956,35.01633,35.26753,35.22589,35.07746,34.97123,16.42801,15.5722,8388607,3630104,3349902,3492408,2264118,2109450,8388607,8388607
55856,12.55956,35.01407,35.2669,35.21415,35.08404,34.96756,16.42801,15.5722,8388607,3630774,3350095,3495868,2262101,2110569,8388607,8388607
55989,12.55956,35.02472,35.26056,35.22225,35.07895,34.97093,16.42801,15.5722,8388607,3627620,3352013,3493481,2263659,2109541,8388607,8388607
56122,12.55956,35.01579,35.26589,35.2243,35.07915,34.97218,16.42801,15.5722,8388607,3630264,3350400,3492876,2263598,2109161,8388607,8388607
56255,12.55956,35.0117,35.26899,35.21204,35.07984,34.96751,16.42801,15.5722,8388607,3631476,3349463,3496490,2263388,2110582,8388607,8388607
56389,12.55956,35.02125,35.26562,35.21992,35.07719,34.96904,16.42801,15.5722,8388607,3628647,3350481,3494167,2264200,2110118,8388607,8388607
56522,12.55956,35.01182,35.26118,35.21714,35.08394,34.97309,16.42801,15.5722,8388607,3631440,3351825,3494986,2262130,2108883,8388607,8388607
56655,12.55956,35.00851,35.26241,35.20977,35.0817,34.96446,16.42801,15.5722,8388607,3632422,3351451,3497161,2262818,2111511,8388607,8388607
56789,12.55956,35.01958,35.25876,35.22125,35.07816,34.97121,16.42801,15.5722,8388607,3629144,3352555,3493777,2263904,2109455,8388607,8388607
56932,12.55956,35.01894,35.26227,35.21442,35.0789,34.969,16.42801,15.5722,8388607,3629332,3351495,3495788,2263676,2110129,8388607,8388607
57065,12.55956,35.01266,35.2617,35.21996,35.07703,34.97475,16.42801,15.5722,8388607,3631190,3351666,3494157,2264248,2108376,8388607,8388607
57198,12.55956,35.00992,35.26976,35.21173,35.07748,34.9693,16.42801,15.5722,8388607,3632003,3349228,3496581,2264111,2110038,8388607,8388607
57402,12.55956,35.00626,35.26501,35.20813,35.08281,34.97403,16.42801,15.5722,8388607,3633086,3350664,3497644,2262478,2108597,8388607,8388607
57535,12.55956,35.01608,35.26899,35.20702,35.08112,34.96899,16.42801,15.5722,8388607,3630179,3349461,3497970,2262995,2110133,8388607,8388607
57678,12.55956,35.01383,35.26808,35.20346,35.07853,34.96798,16.42801,15.5722,8388607,3630845,3349736,3499020,2263788,2110438,8388607,8388607
57821,12.55956,35.00806,35.2681,35.21259,35.07893,34.96964,16.42801,15.5722,8388607,3632556,3349731,3496329,2263666,2109934,8388607,8388607
57955,12.55956,35.01343,35.26972,35.21358,35.08059,34.96826,16.42801,15.5722,8388607,3630963,3349240,3496035,2263159,2110353,8388607,8388607
58098,12.55956,35.02444,35.27297,35.21599,35.08387,34.96594,16.42801,15.5722,8388607,3627704,3348257,3495328,2262153,2111060,8388607,8388607
58231,12.55956,35.02672,35.26282,35.21916,35.08895,34.96843,16.42801,15.5722,8388607,3627029,3351328,3494392,2260594,2110304,8388607,8388607
58375,12.55956,35.02172,35.27256,35.216,35.08749,34.96822,16.42801,15.5722,8388607,3628509,3348382,3495322,2261044,2110368,8388607,8388607
58518,12.55956,35.01582,35.27019,35.2196,35.09106,34.97363,16.42801,15.5722,8388607,3630256,3349100,3494261,2259947,2108719,8388607,8388607
58661,12.55956,35.00964,35.26942,35.21738,35.08235,34.97246,16.42801,15.5722,8388607,3632086,3349333,3494918,2262620,2109076,8388607,8388607
58804,12.55956,35.01065,35.26525,35.21856,35.08273,34.97695,16.42801,15.5722,8388607,3631786,3350594,3494570,2262501,2107707,8388607,8388607
58948,12.55956,35.0103,35.26883,35.22022,35.07723,34.97296,16.42801,15.5722,8388607,3631890,3349511,3494080,2264188,2108923,8388607,8388607
59161,12.55956,35.00996,35.26992,35.21454,35.08096,34.97233,16.42801,15.5722,8388607,3631993,3349180,3495754,2263044,2109114,8388607,8388607
59314,12.55956,35.02622,35.26706,35.20777,35.07665,34.96519,16.42801,15.5722,8388607,3627175,3350047,3497750,2264364,2111289,8388607,8388607
59497,12.55956,35.023,35.27267,35.21021,35.08551,34.97054,16.42801,15.5722,8388607,3628130,3348348,3497029,2261648,2109661,8388607,8388607
59631,12.55956,35.02182,35.26596,35.20998,35.08446,34.97348,16.42801,15.5722,8388607,3628479,3350378,3497098,2261969,2108765,8388607,8388607
59764,12.55956,35.0262,35.26031,35.21416,35.08238,34.97216,16.42801,15.5722,8388607,3627182,3352085,3495864,2262608,2109165,8388607,8388607
59897,12.55956,35.02091,35.27636,35.20735,35.08399,34.96794,16.42801,15.5722,8388607,3628749,3347232,3497874,2262114,2110450,8388607,8388607
60021,12.55956,35.0194,35.27484,35.20757,35.08513,34.97435,16.42801,15.5722,8388607,3629194,3347692,3497808,2261765,2108500,8388607,8388607
60154,12.55956,35.02284,35.27427,35.20689,35.08649,34.97425,16.42801,15.5722,8388607,3628176,3347865,3498009,2261349,2108530,8388607,8388607
60277,12.55956,35.0182,35.27496,35.20382,35.07874,34.96715,16.42801,15.5722,8388607,3629551,3347658,3498914,2263726,2110692,8388607,8388607
60410,12.55956,35.02688,35.26734,35.2115,35.07789,34.96892,16.42801,15.5722,8388607,3626980,3349960,3496649,2263984,2110154,8388607,8388607
60544,12.55956,35.02892,35.26684,35.20595,35.07468,34.97249,16.42801,15.5722,8388607,3626377,3350113,3498286,2264969,2109065,8388607,8388607
60677,12.55956,35.02094,35.27186,35.19896,35.07787,34.97152,16.42801,15.5722,8388607,3628740,3348594,3500346,2263990,2109362,8388607,8388607
60870,12.55956,35.02969,35.26533,35.20829,35.08051,34.97091,16.42801,15.5722,8388607,3626149,3350570,3497597,2263183,2109547,8388607,8388607
61003,12.55956,35.01838,35.26232,35.20627,35.07572,34.97028,16.42801,15.5722,8388607,3629498,3351481,3498193,2264651,2109738,8388607,8388607
61137,12.55956,35.01431,35.26864,35.20271,35.08134,34.96651,16.42801,15.5722,8388607,3630703,3349568,3499241,2262928,2110888,8388607,8388607
61270,12.55956,35.01641,35.26829,35.20746,35.0764,34.96968,16.42801,15.5722,8388607,3630082,3349675,3497840,2264442,2109923,8388607,8388607
61403,12.55956,35.01772,35.26344,35.20823,35.07614,34.97559,16.42801,15.5722,8388607,3629695,3351140,3497614,2264521,2108120,8388607,8388607
61536,12.55956,35.01385,35.26301,35.21432,35.07821,34.96635,16.42801,15.5722,8388607,3630841,3351271,3495819,2263886,2110934,8388607,8388607
61680,12.55956,35.01646,35.26936,35.21571,35.07694,34.96717,16.42801,15.5722,8388607,3630067,3349349,3495410,2264276,2110685,8388607,8388607
61823,12.55956,35.01064,35.26577,35.21822,35.08168,34.96949,16.42801,15.5722,8388607,3631792,3350437,3494669,2262822,2109978,8388607,8388607
61966,12.55956,35.02039,35.26544,35.21516,35.07881,34.96812,16.42801,15.5722,8388607,3628901,3350536,3495572,2263703,2110397,8388607,8388607
62099,12.55956,35.02003,35.26361,35.21329,35.0866,34.96489,16.42801,15.5722,8388607,3629010,3351090,3496122,2261316,2111380,8388607,8388607
62243,12.55956,35.02116,35.26286,35.21468,35.0875,34.96808,16.42801,15.5722,8388607,3628673,3351315,3495712,2261039,2110410,8388607,8388607
