time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
11334,8388607,7273914,6879361,7127616,4536171,4260667,3008286,4743345
11457,8388607,7272653,6877892,7126942,4535108,4261104,3005620,4742613
11580,8388607,7271769,6875454,7127828,4532574,4261420,3007298,4747079
11703,8388607,7275067,6876191,7130274,4530873,4263159,3008789,4748568
11837,8388607,7272745,6878533,7128595,4533984,4262405,3010054,4748588
11970,8388607,7274816,6877478,7129944,4533715,4262953,3010886,4751720
12103,8388607,7273539,6876912,7129576,4532510,4263920,3015183,4752505
12287,8388607,7275703,6877063,7129961,4532878,4262852,3028080,4752562
12410,8388607,7274442,6877975,7128040,4535130,4262315,3029315,4751334
12543,8388607,7273542,6876880,7127046,4533169,4264450,3030191,4751189
12676,8388607,7272275,6878013,7124304,4533851,4260788,3031829,4750515
12810,8388607,7275764,6878064,7128539,4533137,4263020,3033067,4752356
12943,8388607,7274720,6877353,7131940,4533122,4265033,3030962,4753538
13076,8388607,7272104,6879066,7131846,4532399,4262640,3041673,4751448
13210,8388607,7273509,6874946,7133254,4532947,4264703,3033837,4756175
13343,8388607,7274371,6878116,7132093,4534387,4266120,3030041,4757382
13486,8388607,7275517,6877813,7130880,4532967,4267808,3028385,4756598
13619,8388607,7273679,6879381,7128231,4533281,4265150,3030251,4756271
13763,8388607,7274092,6878263,7130871,4533625,4267770,3020507,4755616
13956,8388607,7273514,6880314,7128671,4535035,4265860,3021045,4756551
14089,8388607,7275974,6877952,7129690,4533322,4267096,3019065,4756250
14232,8388607,7273637,6877644,7126226,4533152,4265889,3026012,4754749
14376,8388607,7274528,6880882,7128679,4536291,4266127,3027676,4752870
14509,8388607,7275475,6876428,7131408,4534825,4267346,3031619,4753607
14642,8388607,7276109,6877853,7130970,4532425,4266103,3037298,4753748
14775,8388607,7274665,6878116,7131122,4534791,4264064,3038457,4755965
14919,8388607,7274626,6878642,7131611,4532287,4263635,3037550,4757588
15052,8388607,7276957,6877722,7131350,4532613,4264999,3043673,4756351
15195,8388607,7276372,6878618,7129033,4536071,4265376,3042038,4753893
15338,8388607,7275153,6880377,7131252,4536975,4264779,3041011,4750541
15482,8388607,7275550,6879588,7132628,4536002,4266252,3038351,4749784
15675,8388607,7275729,6880082,7128769,4534306,4265059,3032126,4751986
15818,8388607,7274167,6879614,7127907,4533423,4264313,3027353,4752646
15961,8388607,7275075,6881173,7128036,4532805,4263876,3026830,4754115
16105,8388607,7277346,6880513,7132221,4532592,4265719,3025246,4753921
16248,8388607,7278908,6880441,7133450,4530530,4266890,3025065,4753665
16391,8388607,7277701,6880388,7131205,4532090,4266851,3033099,4755453
16535,8388607,7276221,6881054,7132513,4535057,4265646,3039175,4754628
16678,8388607,7275379,6881476,7134214,4536152,4267517,3041862,4756764
16821,8388607,7275797,6881789,7132425,4535179,4267864,3045227,4755331
17004,8388607,7275926,6879768,7132849,4535038,4267216,3040496,4756674
17128,8388607,7277411,6878186,7135074,4534268,4268691,3043371,4754785
17251,8388607,7278594,6878781,7135528,4534543,4267519,3037588,4756072
17434,8388607,7277669,6880862,7133150,4535698,4267549,3034234,4756868
17557,8388607,7275634,6881428,7129379,4532955,4266349,3030165,4756649
17681,8388607,7276506,6881392,7133609,4533014,4267712,3030798,4756513
17804,8388607,7277452,6881045,7136543,4534240,4268309,3031169,4755309
17927,8388607,7278530,6879142,7135208,4533812,4268799,3024703,4754266
18050,8388607,7279420,6879741,7136060,4535144,4266403,3021023,4756317
18174,8388607,7278637,6880874,7135172,4534124,4264140,3031512,4753502
18297,8388607,7277993,6882966,7132585,4534569,4263630,3034809,4751239
18430,8388607,7280062,6879643,7136216,4535012,4268016,3033821,4753042
18554,8388607,7278652,6880441,7133972,4535488,4266211,3033214,4753803
18677,8388607,7278603,6882701,7134332,4536067,4265179,3035916,4755508
18800,8388607,7276913,6882787,7132669,4536112,4266043,3041523,4756530
18983,8388607,7279533,6882358,7135739,4536910,4269400,3050612,4758731
19117,8388607,7279046,6882252,7137046,4537159,4268651,3051188,4755518
19240,8388607,7278803,6883373,7137295,4537729,4268873,3048951,4755177
19363,8388607,7278929,6881844,7138106,4536378,4269073,3049660,4756317
19486,8388607,7280977,6881286,7139660,4536277,4270436,3049630,4756141
19610,8388607,7279589,6880876,7137569,4536438,4270304,3046219,4758006
19743,8388607,7278417,6883229,7136001,4537903,4269103,3040102,4758366
19876,8388607,7278886,6883021,7136039,4538767,4269132,3043006,4758087
20010,8388607,7280033,6881403,7139734,4536499,4271268,3046934,4760246
20143,8388607,7277809,6883078,7135852,4538360,4270938,3048350,4761286
20276,8388607,7278536,6882931,7138122,4539409,4268461,3049676,4759602
20409,8388607,7279848,6880309,7140531,4539658,4272393,3049847,4761043
20593,8388607,7280985,6881865,7138632,4539852,4269857,3052193,4759505
20726,8388607,7278855,6879639,7139636,4537968,4269924,3057943,4760914
20859,8388607,7279481,6883005,7136803,4539312,4270203,3058103,4759882
21002,8388607,7279111,6883879,7138594,4540322,4271011,3063755,4760425
21136,8388607,7278473,6881822,7136002,4539694,4268168,3055544,4756552
21269,8388607,7280128,6879941,7136865,4537253,4270173,3059459,4756358
21402,8388607,7277341,6882789,7135754,4537580,4267957,3053960,4754065
21536,8388607,7277222,6881231,7136922,4539158,4267727,3054139,4754221
21669,8388607,7280175,6879283,7139034,4536512,4270136,3052356,4755568
21802,8388607,7278404,6880360,7137333,4539910,4269392,3057663,4757371
