,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
58,2.280304041,36.999820099,36.999379380,36.998238078,37.001042791,36.999241977,37.000575433,0.000000000,,
59,2.320309375,37.000077841,37.000131649,36.998734330,37.000339706,36.999613260,36.999010744,0.000000000,,
60,2.360314709,37.002214493,36.999807108,37.001797531,36.999502177,37.000601451,37.000349114,0.000000000,,
61,2.400320043,37.000404770,36.999185454,37.000240089,37.000744477,37.001018477,37.000492138,0.000000000,,
62,2.440325377,36.999384010,37.000405460,37.001680694,37.001185536,37.000014587,36.999195558,0.000000000,,
63,2.480330711,37.000789653,36.998779729,37.000045852,36.998081026,36.998672263,36.999980567,0.000000000,,
64,2.520336045,36.998609137,37.001101474,36.999586282,36.998968969,36.999804271,37.001683177,0.000000000,,
65,2.560341379,37.001000324,37.001271566,36.998554446,36.999240726,37.000257259,37.001257382,0.000000000,,
66,2.600346713,37.000405533,37.000262738,36.999120822,37.000612386,37.002178822,37.001291319,0.000000000,,
67,2.640352047,37.001234978,37.000767856,36.999191267,36.999611345,37.002183907,37.000519880,0.000000000,,
68,2.680357381,37.000416911,37.001123333,36.998603442,37.001300235,36.999404051,36.998823504,0.000000000,,
69,2.720362715,36.999492646,37.000147857,36.998825595,37.000516540,36.999694499,37.000394915,0.000000000,,
70,2.760368049,37.000986468,37.000877118,37.000938330,37.001629125,36.999692402,37.000211653,0.000000000,,
71,2.800373383,37.000041365,37.000166873,37.000374142,37.001119599,37.001075685,36.999223614,0.000000000,,
72,2.840378717,36.999214217,37.000247750,36.999760823,36.999166517,37.001019411,37.000547146,0.000000000,,
73,2.880384051,36.999808258,37.000914239,36.999849762,36.998237436,37.000785482,37.002131310,0.000000000,,
74,2.920389385,37.002053036,36.999551367,37.002447635,36.999169680,37.000086982,36.998792799,0.000000000,,
75,2.960394719,36.999040743,37.000832842,36.999897777,37.000451856,37.001210971,36.999487769,0.000000000,,
76,3.000400053,36.997901096,36.998050066,36.999926543,37.000256840,37.000226866,36.999055172,0.000000000,,
77,3.040405387,36.998303709,36.999066955,36.999409778,37.001287670,36.999958187,37.000260746,0.000000000,,
78,3.080410721,36.998701130,37.001689916,37.000269633,37.000097236,37.001014408,36.999452795,0.000000000,,
79,3.120416055,36.999161152,37.001654879,37.000653682,37.000640166,37.000273136,37.000853050,0.000000000,,
80,3.160421390,37.000178131,37.000702925,36.998815759,36.999409240,37.000050633,36.998597937,0.000000000,,
81,3.200426724,36.999115112,36.999572458,37.000132811,36.999164225,37.000961983,37.000623768,0.000000000,,
82,3.240432058,37.001054968,37.000704744,37.000587782,37.001556680,37.000319580,37.000025995,0.000000000,,
83,3.280437392,36.997999437,36.999269447,36.999991968,36.999136100,36.999230618,36.999766095,0.000000000,,
84,3.320442726,36.999884775,36.999600058,37.000633434,37.000566666,36.999248196,36.998966120,0.000000000,,
85,3.360448060,37.000888442,37.001907208,36.999531860,37.000145540,36.999358133,36.999741771,0.000000000,,
86,3.400453394,36.999547917,36.998353958,37.000467585,36.998527616,36.997848129,36.999145548,0.000000000,,
87,3.440458728,37.002553203,37.000285508,37.000565158,37.000825557,36.999271338,37.000396153,0.000000000,,
88,3.480464062,36.999245337,36.999732903,37.000235461,37.000132711,36.998019473,37.000972906,0.000000000,,
89,3.520469396,36.998348193,36.999760097,37.000422809,36.999604521,36.999551551,37.000810648,0.000000000,,
90,3.560474730,36.999419139,37.000560248,37.000358940,37.000957534,36.999556204,37.000906417,0.000000000,,
91,3.600480064,37.000581113,37.000696443,37.001368046,36.998509687,36.997852755,36.997916271,0.000000000,,
92,3.640485398,36.998844677,37.000244332,36.999933875,36.999363630,36.998959959,36.999676328,0.000000000,,
93,3.680490732,36.997698025,36.999706859,37.000120137,36.998572930,36.999928620,37.000465549,0.000000000,,
94,3.720496066,37.001562494,37.000374441,37.002561000,37.001536672,36.997950395,37.000646787,0.000000000,,
