,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
0,0.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,0.000000000,mode,VV-ECMO
1,0.000000000,37.000561872,36.997714582,36.999049842,37.000761089,37.000803393,36.999691355,0.000000000,measurement_noise,0.001
2,0.040013338,36.998287489,36.999205747,36.998812089,37.000581275,37.000182765,37.000088390,0.000000000,run_time,120
3,0.080026676,36.999429962,37.000275022,36.999198829,36.998304897,37.000349596,36.998449445,0.000000000,heart_mixing,Enabled
4,0.120040013,36.999392686,36.998812932,36.999241870,37.000834300,37.000400447,37.000916087,0.000000000,heat_transfer_membrane,100
5,0.160053351,36.999131361,36.999076334,37.000693904,36.999609104,37.000795175,36.999677551,0.000000000,signal_type,Heating element
6,0.200066689,37.001655956,37.000972216,37.000024078,36.998293249,36.999918508,37.002327484,0.000000000,recirculation,0
7,0.240080027,37.000874034,37.000668591,37.001203179,36.997853885,37.001828755,36.999121186,0.000000000,volume_water_reservoir,1200
8,0.280093364,36.998983014,37.001389899,36.999494834,36.998985708,36.999131433,37.001243279,0.000000000,power_heater_unit,0
9,0.320106702,37.001133208,36.999549559,37.000644101,36.999394519,37.000274446,36.999832575,0.000000000,heat_loss_tubing,0
10,0.360120040,36.998357312,37.000726899,37.001088333,37.000388655,37.000873160,37.000212126,0.000000000,volume_membrane_water,150
11,0.400133378,37.001361926,36.998681832,37.000283232,36.998944795,37.000516021,37.002033190,0.000000000,volume_membrane_blood,250
12,0.440146716,37.001370333,36.999135237,37.000768585,37.000230608,36.999125608,36.999812127,0.000000000,heating_element_location,10
13,0.480160053,36.999634586,36.999353529,37.001212964,36.998547493,37.002438932,36.999151221,0.000000000,start_heating_element,10
14,0.520173391,36.998234385,36.999880051,37.000904160,36.998874765,36.998834701,36.999954995,0.000000000,heating_element_duration,5
15,0.560186729,36.999246472,37.001406059,37.001045847,36.999952462,37.000572477,36.998522754,0.000000000,heating_element_power,100
16,0.600200067,36.997816765,37.000824217,36.999773650,37.000714373,36.998477322,36.998846372,0.000000000,flow_rate_water,1500
17,0.640213404,37.000936106,37.000440983,37.001116285,36.999958561,36.998529358,36.998136547,0.000000000,vol_tubes_water,300
18,0.680226742,36.999594678,37.000587545,36.999027002,37.000940799,36.998141061,37.000618270,0.000000000,start_temp_water,37
19,0.720240080,37.001688592,36.999260835,36.997750820,37.001097351,36.999887847,37.000234217,0.000000000,temp_location_water_1,25
20,0.760253418,36.998643380,37.000429408,37.001220729,36.999607410,36.998921206,37.000942323,0.000000000,temp_location_water_2,75
21,0.800266756,36.999510193,37.000936540,37.000237192,37.000363298,36.999920159,36.999745639,0.000000000,conduction_frac_water,0
22,0.840280093,37.000120130,37.000025685,36.999793075,37.001510871,37.000180818,36.997688546,0.000000000,flow_rate_ecmo,3000
23,0.880293431,37.000196237,37.000793240,36.998742130,36.999082387,37.000015859,36.999737226,0.000000000,vol_tubes_ecmo,300
24,0.920306769,37.000285847,37.000161253,37.000702759,37.001548687,37.000105533,37.000632905,0.000000000,start_temp_ecmo,37
25,0.960320107,37.001278628,36.999141534,36.999399890,36.999443821,36.999271446,36.999296919,0.000000000,temp_location_ecmo_arterial,25
26,1.000333444,37.000609407,37.000163076,36.999283475,36.998175062,36.998322163,36.999170084,0.000000000,temp_location_ecmo_venous,75
27,1.040346782,37.000437917,37.001341607,36.999165456,37.001458274,37.000987499,37.001070624,0.000000000,conduction_frac_ecmo,0
28,1.080360120,36.997474629,36.999816438,37.000263628,37.000418697,37.000242934,36.998977320,0.000000000,injectate_location,95
29,1.120373458,36.998717933,36.999787489,37.000640850,37.001254640,36.999886593,37.000374163,0.000000000,start_injection,10
